AnbieterNr,Stückzahl,Preis,Preis pro Stück,Bereits verkauft,Typ,Verkäufer,Stadt,Bundesland
1,1,"1,59","1,59",2748,MNS,trad***de,Crailsheim,Baden-Württemberg
1,20,"21,49","1,0745",2748,MNS,trad***de,Crailsheim,Baden-Württemberg
1,100,"99,9","0,999",2748,MNS,trad***de,Crailsheim,Baden-Württemberg
2,10,"59,9","5,99",406,FFP2/KN95,Handel Deutschland eG,Gallin,Mecklenburg-Vorpommern
3,10,"12,9","1,29",1092,MNS,4**bile,Duisburg,Nordrhein-Westfalen
3,20,"22,9","1,145",1092,MNS,4**bile,Duisburg,Nordrhein-Westfalen
4,1,1,1,1109,MNS,A GmbH,Ingelheim,Rheinland-Pfalz
4,20,"35,5","1,775",1109,MNS,A GmbH,Ingelheim,Rheinland-Pfalz
5,1,"9,97","9,97",973,FFP2/KN95 Fest,Saxonia,Kesselsdorf,Sachsen
5,5,"42,35","8,47",973,FFP2/KN95 Fest,Saxonia,Kesselsdorf,Sachsen
5,1,"8,97","8,97",973,FFP2/KN95,Saxonia,Kesselsdorf,Sachsen
5,5,"38,1","7,62",973,FFP2/KN95,Saxonia,Kesselsdorf,Sachsen
6,10,"9,99","0,999",1054,MNS,Store** DE,Berlin,Berlin
6,50,"48,45","0,969",1054,MNS,Store** DE,Berlin,Berlin
7,1,"17,9","17,9",2197,FFP3 mit Ventil,Chili** GmbH,Waiblingen,Baden-Württemberg
7,5,"86,8","17,36",2197,FFP3 mit Ventil,Chili** GmbH,Waiblingen,Baden-Württemberg
8,10,"14,79","1,479",292,MNS,Oase** GmbH & Co. KG,Enneptal,Nordrhein-Westfalen
3,1,"5,89","5,89",92,FFP2/KN95,4**bile,Duisburg,Nordrhein-Westfalen
3,10,"47,9","4,79",92,FFP2/KN95,4**bile,Duisburg,Nordrhein-Westfalen
3,100,"431,5","4,315",92,FFP2/KN95,4**bile,Duisburg,Nordrhein-Westfalen
9,10,"14,9","1,49",397,MNS,FR Shop**,Eschweiler,Nordrhein-Westfalen
9,20,"22,9","1,145",397,MNS,FR Shop**,Eschweiler,Nordrhein-Westfalen
3,10,"13,9","1,39",852,MNS,4**bile,Duisburg,Nordrhein-Westfalen
3,50,"66,7","1,334",852,MNS,4**bile,Duisburg,Nordrhein-Westfalen
10,50,"49,95","0,999",96,MNS,U Markt,Mannheim,Baden-Württemberg
10,200,"187,95","0,93975",96,MNS,U Markt,Mannheim,Baden-Württemberg
11,1,"1,9","1,9",653,MNS,Tex** GmbH,Mannheim,Baden-Württemberg
11,10,"16,99","1,699",635,MNS,Tex** GmbH,Mannheim,Baden-Württemberg
11,100,"94,99","0,9499",635,MNS,Tex** GmbH,Mannheim,Baden-Württemberg
11,1000,"892,04","0,89204",635,MNS,Tex** GmbH,Mannheim,Baden-Württemberg
12,50,"46,9","0,938",349,MNS,Deluxe** GmbH,Karben,Hessen
13,1,"9,99","9,99",116,FFP2 mit Ventil,Direct** GmbH,Berlin,Berlin
13,5,"48,45","9,69",116,FFP2 mit Ventil,Direct** GmbH,Berlin,Berlin
14,1,"9,9","9,9",270,FFP2/KN95,Hill Shop,Zeitlarn,Bayern
15,20,"18,99","0,9495",549,MNS,Müller,Hohenroda,Hessen
15,50,"44,9","0,898",549,MNS,Müller,Hohenroda,Hessen
16,1,"5,9","5,9",1243,FFP2/KN95,Zweiradteile,Vorbach,Bayern
16,10,"34,9","3,49",1243,FFP2/KN95,Zweiradteile,Vorbach,Bayern
7,1,"17,9","17,9",602,FFP3 mit Ventil,Chili** GmbH,Waiblingen,Baden-Württemberg
7,5,"86,8","17,36",602,FFP3 mit Ventil,Chili** GmbH,Waiblingen,Baden-Württemberg
17,4,"3,9","0,975",705,MNS,MyFamiliy & Friends eG24,Brandenburg,Brandenburg
17,25,"22,6","0,904",705,MNS,MyFamiliy & Friends eG24,Brandenburg,Brandenburg
18,10,"14,99","1,499",208,MNS,Serenade e.V.,Duisburg,Nordrhein-Westfalen
19,10,"9,9","0,99",821,MNS,Fox Distributions-GmbH,Weissach,Baden-Württemberg
19,100,"89,9","0,899",821,MNS,Fox Distributions-GmbH,Weissach,Baden-Württemberg
19,1000,"851,2","0,8512",821,MNS,Fox Distributions-GmbH,Weissach,Baden-Württemberg
20,10,"13,9","1,39",640,MNS,MyTrends OHG,Düsseldorf,Nordrhein-Westfalen
21,10,"14,9","1,49",130,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
21,50,"70,8","1,416",130,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
22,1,"10,39","10,39",527,FFP mit Ventil,Richard Müller,Bad Hersfeld,Hessen
23,10,"11,9","1,19",1166,MNS,IT Solutions DE,Mölschow,Mecklenburg-Vorpommern
23,50,"55,75","1,115",1166,MNS,IT Solutions DE,Mölschow,Mecklenburg-Vorpommern
24,20,"22,99","1,1495",440,MNS,Glaspalast,Berlin,Berlin
24,100,"111,5","1,115",440,MNS,Glaspalast,Berlin,Berlin
25,1,"14,99","14,99",878,FFP2 mit Ventil,ExpressU,Velbert,Nordrhein-Westfalen
25,8,88,11,878,FFP2 mit Ventil,ExpressU,Velbert,Nordrhein-Westfalen
26,1,"14,95","14,95",556,FFP2,Commerce GmbH,Velbert,Nordrhein-Westfalen
26,5,"55,5","11,1",556,FFP2,Commerce GmbH,Velbert,Nordrhein-Westfalen
3,50,"59,9","1,198",161,MNS,4**bile,Duisburg,Nordrhein-Westfalen
3,250,"287,5","1,15",161,MNS,4**bile,Duisburg,Nordrhein-Westfalen
17,1,"7,9","7,9",331,FFP2/KN95 faltbar,MyFamiliy & Friends eG24,Brandenburg,Brandenburg
21,1,"1,59","1,59",54,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
21,50,"52,9","1,058",54,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
21,100,98,"0,98",54,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
21,1000,920,"0,92",54,MNS,Schlachterbedarf OHG,Schömberg,Baden-Württemberg
27,1,"9,9","9,9",874,FFP2/KN95,Lana Yungi,Stuttgart,Baden-Württemberg
28,1,"1,6","1,6",41,MNS,OHG,Altenstadt,Hessen
28,50,"45,95","0,919",41,MNS,OHG,Altenstadt,Hessen
29,50,"45,99","0,9198",191,MNS,Ilias B2B UG,Heilbronn,Baden-Württemberg
29,100,"89,99","0,8999",191,MNS,Ilias B2B UG,Heilbronn,Baden-Württemberg
29,500,"399,99","0,79998",191,MNS,Ilias B2B UG,Heilbronn,Baden-Württemberg
30,10,"12,9","1,29",279,MNS,Ash SA,Hamburg,Hamburg
30,100,"94,9","0,949",279,MNS,Ash SA,Hamburg,Hamburg
31,5,"4,99","0,998",181,MNS,Judika UG,Seifhennersdorf,Sachsen
31,20,"21,9","1,095",181,MNS,Judika UG,Seifhennersdorf,Sachsen
32,10,"9,9","0,99",87,MNS,Meyer e.K.,Neuss,Nordrhein-Westfalen
32,50,"35,9","0,718",87,MNS,Meyer e.K.,Neuss,Nordrhein-Westfalen
16,1,"1,9","1,9",23,MNS,Zweiradteile,Vorbach,Bayern
16,10,"9,99","0,999",23,MNS,Zweiradteile,Vorbach,Bayern
16,50,"44,9","0,898",23,MNS,Zweiradteile,Vorbach,Bayern
33,5,"7,99","1,598",52,MNS,Bijou,Frankfurt,Hessen
33,20,"21,99","1,0995",52,MNS,Bijou,Frankfurt,Hessen
34,10,13,"1,3",53,MNS,E OHG,Weiburg,Hessen
34,100,99,"0,99",53,MNS,E OHG,Weiburg,Hessen
34,500,450,"0,9",53,MNS,E OHG,Weiburg,Hessen
3,10,"47,9","4,79",116,FFP2/KN95,4**bile,Duisburg,Nordrhein-Westfalen
3,50,"229,9","4,598",116,FFP2/KN95,4**bile,Duisburg,Nordrhein-Westfalen
